sample_label	D1	D2
monkeyc1g1s159	7.904163	8.741033
monkeyc1g1s160	4.852698	9.200387
monkeyc1g1s161	4.306137	6.073319
monkeyc1g1s162	6.258385	9.853328
monkeyc1g1s163	6.064728	6.02091
monkeyc1g1s164	8.966928	8.95958
monkeyc1g1s165	5.99698	8.140191
monkeyc1g1s166	5.765582	6.277915
monkeyc1g1s167	5.263739	10.820123
monkeyc1g1s168	5.05527	7.771155
monkeyc1g1s169	7.397968	10.01612
monkeyc1g1s170	8.881543	8.929928
monkeyc1g1s171	5.512438	8.852768
monkeyc1g1s172	3.204656	8.819695
monkeyc1g1s173	4.536742	9.952325
monkeyc1g1s174	6.762054	5.852462
monkeyc1g1s175	5.296388	9.344788
monkeyc1g1s176	8.448701	8.235682
monkeyc1g1s177	8.457545	9.76995
monkeyc1g1s178	3.665359	8.280731
monkeyc1g1s179	4.901591	7.956638
monkeyc1g1s180	3.888699	7.838181
monkeyc1g1s181	4.082804	9.875242
monkeyc1g1s182	5.679918	7.108591
monkeyc1g1s183	2.709614	7.699506
monkeyc1g1s184	8.970916	8.207761
monkeyc1g1s185	5.822956	10.262858
monkeyc1g1s186	6.573121	10.996548
monkeyc1g1s187	6.758603	5.539148
monkeyc1g1s188	4.108139	6.917848
monkeyc1g1s189	4.72585	8.253421
monkeyc1g1s190	5.700652	7.93153
monkeyc1g1s191	3.785894	10.302918
monkeyc1g1s192	5.514295	10.502533
monkeyc1g1s193	7.913801	8.355401
monkeyc1g1s194	5.674201	8.878779
monkeyc1g1s195	6.422256	11.706095
monkeyc1g1s196	6.06086	5.709003
monkeyc1g1s197	8.96862	8.518632
monkeyc1g1s198	3.842466	9.156186
monkeyc1g1s199	7.421246	6.847308
monkeyc1g1s200	6.28228	8.124973
monkeyc1g1s201	6.691284	7.240727
monkeyc1g1s202	3.435595	8.074634
monkeyc1g1s203	3.661556	6.572813
monkeyc1g1s204	7.372821	8.778398
monkeyc1g1s205	4.588856	8.040503
monkeyc1g1s206	4.657404	8.74794
monkeyc1g1s207	6.678122	7.534221
monkeyc1g1s208	3.772771	8.495072
monkeyc1g1s209	6.991403	9.077653
monkeyc1g1s210	3.340124	7.498899
monkeyc1g1s211	4.887432	10.919868
monkeyc1g1s212	6.681005	8.611153
monkeyc1g1s213	8.621731	7.712634
monkeyc1g1s214	3.545855	7.173959
monkeyc1g1s215	6.36541	8.164311
monkeyc1g1s216	7.124462	10.649853
monkeyc1g1s217	7.110364	8.260755
monkeyc1g1s218	5.537975	9.523525
monkeyc1g1s219	7.983162	8.839658
monkeyc1g1s220	4.724927	9.669781
monkeyc1g1s221	6.572515	10.259713
monkeyc1g1s222	2.767212	7.940718
monkeyc1g1s223	7.969617	7.562449
monkeyc1g1s224	7.607618	6.666648
monkeyc1g1s225	3.530252	6.233691
monkeyc1g1s226	4.253661	8.107651
monkeyc1g1s227	8.109071	9.970017
monkeyc1g1s228	3.442112	8.82987
monkeyc1g1s229	8.042477	6.88264
monkeyc1g1s230	2.577846	8.226719
monkeyc1g1s231	4.041092	7.111822
monkeyc1g1s232	3.3165	7.595993
monkeyc1g1s233	5.432254	5.33333
monkeyc1g1s234	4.81953	10.430947
monkeyc1g1s235	4.717367	11.451199
monkeyc1g1s236	5.651058	6.766906
monkeyc1g1s237	8.458709	8.476794
monkeyc1g1s238	8.433297	8.544641
monkeyc1g1s239	7.820359	7.595647
monkeyc1g1s240	4.257078	9.40747
monkeyc1g1s241	5.063578	6.369475
monkeyc1g1s242	6.899006	8.665467
monkeyc1g1s243	3.331259	8.950621
monkeyc1g1s244	8.184998	7.591568
monkeyc1g1s245	3.902365	7.252767
monkeyc1g1s246	7.043423	8.719673
monkeyc1g1s247	6.502131	7.596409
monkeyc1g1s248	5.576597	7.132378
monkeyc1g1s249	8.753391	9.116248
monkeyc1g1s250	5.460987	7.936607
monkeyc1g1s251	5.895761	10.593678
monkeyc1g1s252	6.893685	8.211149
monkeyc1g1s253	2.957263	9.364554
monkeyc1g1s254	5.806569	6.525175
monkeyc1g1s255	4.991568	6.447376
monkeyc1g1s256	6.026742	6.024689
monkeyc1g1s257	7.97951	7.217355
monkeyc1g1s258	4.617014	11.209486
monkeyc1g1s259	6.913424	10.765779
monkeyc1g1s260	6.312438	10.519171
monkeyc1g1s261	3.638686	7.996787
monkeyc1g1s262	4.237202	11.382547
monkeyc1g1s263	3.040881	6.958979
monkeyc1g1s264	7.454175	7.406242
monkeyc1g1s265	7.385276	9.552184
monkeyc1g1s266	8.680797	9.463412
monkeyc1g1s267	3.050974	9.722713
monkeyc1g1s268	4.057345	8.702224
monkeyc1g1s269	5.9747	8.672677
monkeyc1g1s270	8.311406	6.5861
monkeyc1g1s271	7.287186	6.331901
monkeyc1g1s272	6.016357	9.028687
monkeyc1g1s273	7.743559	10.390601
monkeyc1g1s274	5.831235	5.55958
monkeyc1g1s275	4.28541	8.01647
monkeyc1g1s276	4.875823	5.778654
monkeyc1g1s277	4.556619	7.142531
monkeyc1g1s278	8.872252	8.898933
monkeyc1g1s279	3.432175	7.186119
monkeyc1g1s280	3.628798	10.692476
monkeyc1g1s281	4.954106	9.908254
monkeyc1g1s282	6.646035	6.739489
monkeyc1g1s283	5.920475	6.604288
monkeyc1g1s284	5.724899	8.970111
monkeyc1g1s285	5.885585	5.415599
monkeyc1g1s286	8.22673	7.479321
monkeyc1g1s287	7.24406	5.701076
monkeyc1g1s288	5.574624	7.379963
monkeyc1g1s289	3.372151	9.135339
monkeyc1g1s290	3.151528	10.057513
monkeyc1g1s291	2.999193	7.130417
monkeyc1g1s292	8.487013	8.175124
monkeyc1g1s293	3.436502	9.479412
monkeyc1g1s294	6.651401	6.659523
monkeyc1g1s295	3.536986	8.065574
monkeyc1g1s296	6.999162	11.130198
monkeyc1g1s297	6.30651	7.337623
monkeyc1g1s298	2.712349	7.979151
monkeyc1g1s299	7.173433	11.199362
monkeyc1g1s300	5.678345	10.585672
monkeyc1g1s301	7.047104	8.580316
monkeyc1g1s302	3.13609	8.801214
monkeyc1g1s303	7.460619	11.292218
monkeyc1g1s304	3.700627	10.745353
monkeyc1g1s305	5.060151	8.929006
monkeyc1g1s306	7.524086	8.684107
monkeyc1g1s307	7.08067	11.201978
monkeyc1g1s308	3.893268	10.542175
monkeyc1g1s309	7.689779	10.744524
monkeyc1g1s310	8.831628	8.917957
monkeyc1g1s311	8.24099	6.948593
monkeyc1g1s312	7.036663	10.228909
monkeyc1g1s313	7.662753	6.804669
monkeyc1g1s314	7.124938	9.417156
monkeyc1g1s315	5.864593	7.867308
monkeyc1g1s316	5.58251	11.496313
monkeyc1g1s317	4.106596	7.851147
monkeyc1g1s318	5.60042	7.263125
monkeyc1g1s319	6.983689	9.505596
monkeyc1g1s320	3.2253	9.581549
monkeyc1g1s321	8.669825	8.295095
monkeyc1g1s322	3.056653	7.536085
monkeyc1g1s323	8.980101	8.675283
monkeyc1g1s324	7.9355	6.800221
monkeyc1g1s325	3.609467	10.720611
monkeyc1g1s326	8.127378	6.797919
monkeyc1g1s327	4.709888	9.168803
monkeyc1g1s328	3.714232	9.594653
monkeyc1g1s329	5.98375	7.193075
monkeyc1g1s330	4.788342	7.908375
monkeyc1g1s331	7.951809	10.770894
monkeyc1g1s332	4.7882	11.317546
monkeyc1g1s333	8.075982	9.482988
monkeyc1g1s334	8.507648	9.755736
monkeyc1g1s335	5.968301	6.19764
monkeyc1g1s336	5.901237	7.697862
monkeyc1g1s337	7.000704	6.654234
monkeyc1g1s338	4.03524	8.152154
monkeyc1g1s339	6.235127	11.623566
monkeyc1g1s340	6.566386	11.553516
monkeyc1g1s341	4.371039	9.80536
monkeyc1g1s342	4.166591	10.994705
monkeyc1g1s343	6.774967	8.391189
monkeyc1g1s344	7.185599	10.338093
monkeyc1g1s345	6.713146	10.919148
monkeyc1g1s346	5.241082	8.441505
monkeyc1g1s347	3.206818	9.339146
monkeyc1g1s348	6.598055	7.388759
monkeyc1g1s349	6.966952	6.772248
monkeyc1g1s350	7.053522	10.497375
monkeyc1g1s351	6.887088	10.175491
monkeyc1g1s352	8.738984	9.544344
monkeyc1g1s353	8.307195	9.68591
monkeyc1g1s354	5.95905	6.287099
monkeyc1g1s355	4.144649	8.925328
monkeyc1g1s356	8.535192	8.054477
monkeyc1g1s357	4.776274	8.358587
monkeyc1g1s358	8.405982	9.037682
monkeyc1g1s359	5.955129	5.861147
monkeyc1g1s360	2.860399	7.949906
monkeyc1g1s361	7.317351	10.164385
monkeyc1g1s362	3.213427	8.871759
monkeyc1g1s363	7.590515	9.311948
monkeyc1g1s364	5.820744	9.558478
monkeyc1g1s365	3.575088	7.338313
monkeyc1g1s366	4.664389	10.910475
monkeyc1g1s367	5.651489	11.448786
monkeyc1g1s368	5.255803	10.79658
monkeyc1g1s369	8.01028	10.242954
monkeyc1g1s370	4.575169	6.716047
monkeyc1g1s371	8.31285	7.161392
monkeyc1g1s372	4.487194	10.553529
monkeyc1g1s373	7.1371	9.770599
monkeyc1g1s374	6.137914	8.907056
monkeyc1g1s375	3.219673	9.221042
monkeyc1g1s376	3.639004	10.687482
monkeyc1g1s377	7.595505	7.500473
monkeyc1g1s378	3.561872	6.620948
monkeyc1g1s379	6.703361	8.068429
monkeyc1g1s380	6.576751	7.07501
monkeyc1g1s381	5.587031	10.622995
monkeyc1g1s382	6.350178	5.549042
monkeyc1g1s383	5.663028	8.654685
monkeyc1g1s384	4.736236	7.418214
monkeyc1g1s385	2.873336	9.703932
monkeyc1g1s386	8.9658	8.587065
monkeyc1g1s387	6.940419	7.881721
monkeyc1g1s388	7.997538	8.485651
monkeyc1g1s389	4.479793	9.685237
monkeyc1g1s390	6.075692	6.272268
monkeyc1g1s391	4.908687	6.39498
monkeyc1g1s392	4.975562	9.548008
monkeyc1g1s393	8.330248	10.173965
monkeyc1g1s394	3.084285	9.741163
monkeyc1g1s395	8.285093	10.11803
monkeyc1g1s396	7.166606	8.058449
monkeyc1g1s397	3.258327	8.660671
monkeyc1g1s398	4.260739	8.979157
monkeyc1g1s399	7.44639	7.219483
monkeyc1g1s400	4.084394	10.964285
monkeyc1g1s401	5.056663	9.710769
monkeyc1g1s402	2.779266	9.817274
monkeyc1g1s403	6.852473	10.742463
monkeyc1g1s404	7.601559	9.489763
monkeyc1g1s405	8.972719	8.516995
monkeyc1g1s406	6.585843	6.390128
monkeyc1g1s407	2.854291	9.750799
monkeyc1g1s408	4.605031	6.939956
monkeyc1g1s409	3.051421	6.76002
monkeyc1g1s410	5.72435	5.934306
monkeyc1g1s411	8.271013	9.583238
monkeyc1g1s412	3.55277	7.43571
monkeyc1g1s413	8.995233	8.552937
monkeyc1g1s414	4.62808	6.138779
monkeyc1g1s415	3.470599	9.443047
monkeyc1g1s416	3.693071	7.403846
monkeyc1g1s417	5.788102	5.391983
monkeyc1g1s418	6.253803	6.852003
monkeyc1g1s419	2.978153	7.486309
monkeyc1g1s420	8.739165	8.38988
monkeyc1g1s421	6.532404	6.700067
monkeyc1g1s422	4.530726	6.695299
monkeyc1g1s423	8.55313	8.848253
monkeyc1g1s424	5.056925	5.61119
monkeyc1g1s425	7.175005	7.279137
monkeyc1g1s426	3.65997	7.63304
monkeyc1g1s427	8.687049	8.240664
monkeyc1g1s428	3.841034	8.12369
monkeyc1g1s429	6.027343	10.98715
monkeyc1g1s430	5.690987	8.519554
monkeyc1g1s431	7.091054	7.437949
monkeyc1g1s432	5.397668	6.991079
monkeyc1g1s433	6.502425	10.366648
monkeyc1g1s434	7.749333	9.292866
monkeyc1g1s435	8.060523	10.014355
monkeyc1g1s436	8.482002	9.149959
monkeyc1g1s437	8.114186	7.843533
monkeyc1g1s438	6.047007	6.964674
monkeyc1g1s439	5.826038	11.630048
monkeyc1g1s440	7.115338	11.088033
monkeyc1g1s441	3.449028	6.974415
monkeyc1g1s442	7.495184	7.091638
monkeyc1g1s443	4.224738	7.511068
monkeyc1g1s444	6.439588	6.997421
monkeyc1g1s445	8.130667	7.404831
monkeyc1g1s446	2.784069	7.454181
monkeyc1g1s447	6.776935	8.730522
monkeyc1g1s448	2.888535	8.941014
monkeyc1g1s449	6.738494	8.163124
monkeyc1g1s450	8.694547	9.01334
monkeyc1g1s451	3.869221	9.891539
monkeyc1g1s452	6.063388	8.048612
monkeyc1g1s453	5.361421	5.713586
monkeyc1g1s454	6.933027	9.8336
monkeyc1g1s455	8.724665	8.361342
monkeyc1g1s456	2.764669	8.084918
monkeyc1g1s457	5.788579	7.526159
monkeyc1g1s458	3.174918	9.39544
monkeyc1g1s459	8.321296	9.052032
monkeyc1g1s460	3.756454	6.241001
monkeyc1g1s461	7.335291	9.138495
monkeyc1g1s462	4.810222	6.201883
monkeyc1g1s463	4.284781	10.975441
monkeyc1g1s464	6.263305	8.908468
monkeyc1g1s465	7.60991	8.633132
monkeyc1g1s466	4.181252	5.797384
monkeyc1g1s467	5.355001	7.738725
monkeyc1g1s468	5.792303	9.964884
monkeyc1g1s469	6.457221	10.366341
monkeyc1g1s470	7.177978	9.687636
monkeyc1g1s471	4.440009	8.099114
monkeyc1g1s472	3.957426	9.040116
monkeyc1g1s473	8.782717	8.009546
monkeyc1g1s474	2.815542	7.194988
monkeyc1g1s475	6.568847	8.813485
monkeyc1g1s476	8.013455	9.045453
monkeyc1g1s477	4.856588	9.640009
monkeyc1g1s478	6.742089	5.99501
monkeyc1g1s479	2.690814	8.883496
monkeyc1g1s480	7.90493	10.436156
monkeyc1g1s481	5.802567	10.253683
monkeyc1g1s482	3.955271	10.485388
monkeyc1g1s483	7.032709	10.035726
monkeyc1g1s484	3.252255	7.937243
monkeyc1g1s485	6.796896	8.38433
monkeyc1g1s486	4.160699	9.297288
monkeyc1g1s487	7.315661	9.871871
monkeyc1g1s488	2.861261	8.408382
monkeyc1g1s489	6.081033	10.034191
monkeyc1g1s490	8.642057	9.895741
monkeyc1g1s491	6.172461	11.57675
monkeyc1g1s492	7.624588	9.609458
monkeyc1g1s493	7.547094	5.903574
monkeyc1g1s494	7.561714	6.498957
monkeyc1g1s495	5.572039	8.558749
monkeyc1g1s496	5.359656	8.898531
monkeyc1g1s497	2.866944	7.143353
monkeyc1g1s498	4.190402	6.154024
monkeyc1g1s499	8.943087	8.351469
monkeyc1g1s500	6.776774	7.993526
monkeyc2g2s501	15.483963	8.536093
monkeyc2g2s502	9.302266	8.861015
monkeyc2g2s503	9.190767	8.635822
monkeyc2g2s504	9.669546	10.479175
monkeyc2g2s505	11.349948	6.555915
monkeyc2g2s506	15.033198	7.251656
monkeyc2g2s507	15.226483	7.647297
monkeyc2g2s508	12.378816	7.071152
monkeyc2g2s509	11.90309	7.279613
monkeyc2g2s510	15.232101	8.278193
monkeyc2g2s511	12.333202	7.252878
monkeyc2g2s512	11.786325	7.443645
monkeyc2g2s513	15.122148	7.991356
monkeyc2g2s514	13.811322	9.247271
monkeyc2g2s515	13.354521	11.016747
monkeyc2g2s516	14.898926	9.871251
monkeyc2g2s517	14.627355	7.564961
monkeyc2g2s518	15.119281	7.276578
monkeyc2g2s519	11.238563	10.112326
monkeyc2g2s520	12.747731	5.60194
monkeyc2g2s521	12.489832	6.982588
monkeyc2g2s522	13.913707	10.315791
monkeyc2g2s523	9.376586	8.064351
monkeyc2g2s524	14.420009	7.696498
monkeyc2g2s525	9.003772	8.388904
monkeyc2g2s526	11.647688	8.366929
monkeyc2g2s527	10.173479	8.076015
monkeyc2g2s528	14.831281	7.037778
monkeyc2g2s529	9.107259	9.317832
monkeyc2g2s530	11.455599	5.49669
monkeyc2g2s531	10.037939	7.574473
monkeyc2g2s532	12.711283	8.789611
monkeyc2g2s533	11.159588	6.099215
monkeyc2g2s534	12.564496	8.440556
monkeyc2g2s535	14.877943	9.994827
monkeyc2g2s536	11.739627	7.48055
monkeyc2g2s537	14.82853	8.300731
monkeyc2g2s538	13.57998	9.47421
monkeyc2g2s539	9.865995	7.04674
monkeyc2g2s540	13.277697	8.784518
monkeyc2g2s541	13.384955	8.990073
monkeyc2g2s542	14.940117	9.186763
monkeyc2g2s543	9.488056	9.499338
monkeyc2g2s544	10.563122	7.662337
monkeyc2g2s545	9.235342	8.277059
monkeyc2g2s546	14.855328	10.238964
monkeyc2g2s547	15.393563	8.133919
monkeyc2g2s548	12.593637	9.563616
monkeyc2g2s549	9.990399	7.475941
monkeyc2g2s550	14.392284	9.122481
monkeyc2g2s551	15.244205	8.127743
monkeyc2g2s552	13.057822	7.140635
monkeyc2g2s553	12.681108	11.528973
monkeyc2g2s554	12.593154	6.314322
monkeyc2g2s555	13.684204	5.679649
monkeyc2g2s556	10.690714	5.910972
monkeyc2g2s557	9.443963	7.981731
monkeyc2g2s558	11.088643	9.669616
monkeyc2g2s559	15.352259	8.392687
monkeyc2g2s560	15.18504	9.198326
monkeyc2g2s561	13.341617	6.301481
monkeyc2g2s562	10.509051	10.985684
monkeyc2g2s563	10.653543	6.772159
monkeyc2g2s564	9.886398	7.383131
monkeyc2g2s565	10.330361	7.014029
monkeyc2g2s566	11.597665	9.102673
monkeyc2g2s567	9.215837	8.964931
monkeyc2g2s568	14.314407	7.729475
monkeyc2g2s569	13.584613	7.188098
monkeyc2g2s570	10.659423	6.883138
monkeyc2g2s571	12.717114	7.147808
monkeyc2g2s572	10.922353	11.489424
monkeyc2g2s573	11.000541	7.426921
monkeyc2g2s574	10.208475	6.622606
monkeyc2g2s575	11.862019	9.865209
monkeyc2g2s576	11.209004	8.839366
monkeyc2g2s577	9.545351	8.056005
monkeyc2g2s578	10.061459	8.271841
monkeyc2g2s579	11.953165	6.822955
monkeyc2g2s580	10.796247	9.252429
monkeyc2g2s581	15.38086	8.138967
monkeyc2g2s582	11.925966	9.264407
monkeyc2g2s583	11.62539	11.104558
monkeyc2g2s584	15.091329	7.707609
monkeyc2g2s585	9.923935	8.43294
monkeyc2g2s586	14.527205	8.697161
monkeyc2g2s587	10.243764	9.23058
monkeyc2g2s588	15.369001	7.907358
monkeyc2g2s589	11.915964	6.866109
monkeyc2g2s590	11.905886	7.944267
monkeyc2g2s591	13.787551	10.176782
monkeyc2g2s592	14.570234	7.65119
monkeyc2g2s593	10.705625	6.716127
monkeyc2g2s594	10.952518	9.123736
monkeyc2g2s595	11.876453	11.045372
monkeyc2g2s596	13.306554	10.082577
monkeyc2g2s597	13.94771	9.665133
monkeyc2g2s598	10.854871	7.105713
monkeyc2g2s599	10.733872	10.442392
monkeyc2g2s600	9.769249	6.559751
monkeyc2g2s601	12.685212	10.275229
monkeyc2g2s602	13.165636	6.429497
monkeyc2g2s603	11.463186	9.40981
monkeyc2g2s604	9.209731	8.614617
monkeyc2g2s605	13.799973	6.431171
monkeyc2g2s606	13.319366	11.378881
monkeyc2g2s607	13.021065	8.177925
monkeyc2g2s608	10.443752	9.983639
monkeyc2g2s609	12.177624	8.918921
monkeyc2g2s610	14.452888	10.178671
monkeyc2g2s611	11.6481	10.371973
monkeyc2g2s612	11.554307	11.501471
monkeyc2g2s613	14.017493	8.392248
monkeyc2g2s614	14.961937	7.88313
monkeyc2g2s615	10.395455	8.101399
monkeyc2g2s616	14.897748	8.321614
monkeyc2g2s617	9.538918	9.324792
monkeyc2g2s618	10.534407	6.855857
monkeyc2g2s619	13.412333	6.871552
monkeyc2g2s620	9.032386	8.951305
monkeyc2g2s621	10.568859	10.14592
monkeyc2g2s622	11.039977	8.727893
monkeyc2g2s623	13.594284	11.398085
monkeyc2g2s624	12.139363	10.899022
monkeyc2g2s625	12.060565	11.514025
monkeyc2g2s626	14.070959	7.607155
monkeyc2g2s627	15.466414	8.186728
monkeyc2g2s628	11.11321	8.163141
monkeyc2g2s629	12.321731	8.2783
monkeyc2g2s630	11.544982	10.532122
monkeyc2g2s631	15.251616	9.323279
monkeyc2g2s632	14.076915	9.126124
monkeyc2g2s633	9.799263	10.497828
monkeyc2g2s634	10.367531	9.596489
monkeyc2g2s635	14.363692	8.303235
monkeyc2g2s636	15.009216	8.525306
monkeyc2g2s637	14.080224	9.00573
monkeyc2g2s638	14.338515	7.470245
monkeyc2g2s639	11.831923	7.923853
monkeyc2g2s640	12.23211	7.685469
monkeyc2g2s641	12.568517	7.997786
monkeyc2g2s642	9.919575	6.584701
monkeyc2g2s643	13.748555	10.227921
monkeyc2g2s644	11.083963	8.935748
monkeyc2g2s645	12.451495	7.645038
monkeyc2g2s646	10.442237	8.0468
monkeyc2g2s647	13.445472	7.144403
monkeyc2g2s648	11.38078	10.369708
monkeyc2g2s649	9.971004	7.780204
monkeyc2g2s650	12.918224	7.859076
monkeyc2g2s651	15.08847	8.956548
monkeyc2g2s652	14.182929	10.530591
monkeyc2g2s653	10.078398	6.738377
monkeyc2g2s654	10.997972	8.023078
monkeyc2g2s655	9.256527	8.384562
monkeyc2g2s656	10.768537	9.826799
monkeyc2g2s657	13.093722	8.702083
monkeyc2g2s658	11.482271	11.082863
monkeyc2g2s659	10.256745	9.817834
monkeyc2g2s660	9.263867	9.675109
monkeyc2g2s661	12.485631	11.367351
monkeyc2g2s662	13.284205	6.875322
monkeyc2g2s663	14.295099	6.457086
monkeyc2g2s664	10.831849	11.264127
monkeyc2g2s665	9.142095	8.792323
