sample_label	d1	d2
c2g1s71	7.162684	6.837426	6.837426
c2g1s72	8.821867	8.343967	8.821867
c2g1s73	8.701482	8.446791	8.446791
c2g1s74	8.572971	7.615591	8.572971
c2g1s75	5.683246	11.425206	11.425206
c2g1s76	8.77466	7.663022	8.77466
c2g1s77	5.941045	8.100747	8.100747
c2g1s78	8.689203	7.930233	8.689203
c2g1s79	4.816315	8.632522	8.632522
c2g1s80	3.302916	8.45439	3.302916
c2g1s81	6.076416	8.800519	8.800519
c2g1s82	7.387504	9.878985	7.387504
c2g1s83	3.942558	7.579624	7.579624
c2g1s84	3.856414	10.752869	3.856414
c2g1s85	3.49162	7.01771	7.01771
c2g1s86	3.185159	7.260653	3.185159
c2g1s87	8.395014	8.584327	8.584327
c2g1s88	7.901698	8.27353	7.901698
c2g1s89	5.915924	6.473233	6.473233
c2g1s90	8.113762	9.805755	8.113762
c2g1s91	8.906678	8.36598	8.36598
c2g1s92	3.680145	7.058862	3.680145
c2g1s93	2.640986	9.436634	9.436634
c2g1s94	5.70142	11.716258	5.70142
c2g1s95	7.047834	7.001495	7.001495
c2g1s96	7.889127	8.719205	7.889127
c2g1s97	8.564286	9.64051	9.64051
c2g1s98	4.034939	6.434837	4.034939
c2g1s99	2.936636	9.408366	9.408366
c2g1s100	6.34256	8.522129	6.34256
c2g1s101	5.564799	11.782053	11.782053
c2g1s102	5.638808	6.462198	5.638808
c2g1s103	2.621903	8.410019	8.410019
c2g1s104	3.808206	7.439472	3.808206
c2g1s105	7.227411	8.536152	8.536152
c2g1s106	3.861763	10.06109	3.861763
c2g1s107	8.959066	9.002758	9.002758
c2g1s108	7.697727	6.621125	7.697727
c2g1s109	5.040287	8.038429	8.038429
c2g1s110	7.053254	8.030483	7.053254
c2g1s111	3.692062	10.515866	10.515866
c2g1s112	6.402681	10.223146	6.402681
c2g1s113	7.122527	8.46473	8.46473
c2g1s114	7.271412	7.036915	7.271412
c2g1s115	6.868124	6.571746	6.571746
c2g1s116	7.356935	10.243612	7.356935
c2g1s117	3.006407	9.183741	9.183741
c2g1s118	4.199764	7.107236	4.199764
c2g1s119	6.17442	10.448582	10.448582
c2g1s120	5.079368	6.488869	5.079368
c2g1s121	7.817797	8.338799	8.338799
c2g1s122	2.793956	9.520861	2.793956
c2g1s123	8.009822	10.74096	10.74096
c2g1s124	8.024825	8.863487	8.024825
c2g1s125	4.699555	7.504381	7.504381
c2g1s126	2.562495	8.079812	2.562495
c2g1s127	5.632573	6.767617	6.767617
c2g1s128	7.137982	6.728472	7.137982
c2g1s129	8.945217	8.180662	8.180662
c2g1s130	8.523859	7.131622	8.523859
c2g1s131	7.548685	9.802669	9.802669
c2g1s132	7.90511	10.747605	7.90511
c2g1s133	7.174712	5.758117	5.758117
c2g1s134	8.528386	8.53793	8.528386
c2g1s135	5.160959	6.827317	6.827317
c2g1s136	3.885911	8.255789	3.885911
c2g1s137	3.831129	8.342843	8.342843
c2g1s138	6.345714	9.618766	6.345714
c2g1s139	7.678096	6.858757	6.858757
c2g1s140	8.574906	8.69038	8.574906
c2g1s141	7.123591	9.761013	9.761013
c2g1s142	4.80549	9.978064	4.80549
c2g1s143	3.763094	8.826543	8.826543
c2g1s144	7.477617	9.28466	7.477617
c2g1s145	7.006003	6.89464	6.89464
c2g1s146	3.24259	8.421957	3.24259
c2g1s147	4.618501	11.377746	11.377746
c2g1s148	5.93963	7.930589	5.93963
c2g1s149	3.285343	9.454054	9.454054
c2g1s150	2.969354	9.505102	2.969354
c2g1s151	8.847998	9.080009	9.080009
c2g1s152	8.806343	9.567356	8.806343
c2g1s153	2.718066	7.75542	7.75542
c2g1s154	3.971161	6.233037	3.971161
c2g1s155	5.506101	7.086634	7.086634
c2g1s156	7.939039	7.819224	7.939039
c2g1s157	8.596002	9.927725	9.927725
c2g1s158	8.498158	6.867354	8.498158
c2g1s159	7.904163	8.741033	8.741033
c2g1s160	4.852698	9.200387	4.852698
c2g1s161	4.306137	6.073319	6.073319
c2g1s162	6.258385	9.853328	6.258385
c2g1s163	6.064728	6.02091	6.02091
c2g1s164	8.966928	8.95958	8.966928
c2g1s165	5.99698	8.140191	8.140191
c2g1s166	5.765582	6.277915	5.765582
c2g1s167	5.263739	10.820123	10.820123
c2g1s168	5.05527	7.771155	5.05527
c2g1s169	7.397968	10.01612	10.01612
c2g1s170	8.881543	8.929928	8.881543
c2g1s171	5.512438	8.852768	8.852768
c2g1s172	3.204656	8.819695	3.204656
c2g1s173	4.536742	9.952325	9.952325
c2g1s174	6.762054	5.852462	6.762054
c2g1s175	5.296388	9.344788	9.344788
c2g1s176	8.448701	8.235682	8.448701
c2g1s177	8.457545	9.76995	9.76995
c2g1s178	3.665359	8.280731	3.665359
c2g1s179	4.901591	7.956638	7.956638
c2g1s180	3.888699	7.838181	3.888699
c2g1s181	4.082804	9.875242	9.875242
c2g1s182	5.679918	7.108591	5.679918
c2g1s183	2.709614	7.699506	7.699506
c2g1s184	8.970916	8.207761	8.970916
c2g1s185	5.822956	10.262858	10.262858
c2g1s186	6.573121	10.996548	6.573121
c2g1s187	6.758603	5.539148	5.539148
c2g1s188	4.108139	6.917848	4.108139
c2g1s189	4.72585	8.253421	8.253421
c2g1s190	5.700652	7.93153	5.700652
c2g1s191	3.785894	10.302918	10.302918
c2g1s192	5.514295	10.502533	5.514295
c2g1s193	7.913801	8.355401	8.355401
c2g1s194	5.674201	8.878779	5.674201
c2g1s195	6.422256	11.706095	11.706095
c2g1s196	6.06086	5.709003	6.06086
c2g1s197	8.96862	8.518632	8.518632
c2g1s198	3.842466	9.156186	3.842466
c2g1s199	7.421246	6.847308	6.847308
c2g1s200	6.28228	8.124973	6.28228
c2g1s201	6.691284	7.240727	7.240727
c2g1s202	3.435595	8.074634	3.435595
c2g1s203	3.661556	6.572813	6.572813
c2g1s204	7.372821	8.778398	7.372821
c2g1s205	4.588856	8.040503	8.040503
c2g1s206	4.657404	8.74794	4.657404
c2g1s207	6.678122	7.534221	7.534221
c2g1s208	3.772771	8.495072	3.772771
c2g1s209	6.991403	9.077653	9.077653
c2g1s210	3.340124	7.498899	3.340124
c2g1s211	4.887432	10.919868	10.919868
c2g1s212	6.681005	8.611153	6.681005
c2g1s213	8.621731	7.712634	7.712634
c2g1s214	3.545855	7.173959	3.545855
c2g1s215	6.36541	8.164311	8.164311
c2g1s216	7.124462	10.649853	7.124462
c2g1s217	7.110364	8.260755	8.260755
c2g1s218	5.537975	9.523525	5.537975
c2g1s219	7.983162	8.839658	8.839658
c2g1s220	4.724927	9.669781	4.724927
c2g1s221	6.572515	10.259713	10.259713
c2g1s222	2.767212	7.940718	2.767212
c2g1s223	7.969617	7.562449	7.562449
c2g1s224	7.607618	6.666648	7.607618
c2g1s225	3.530252	6.233691	6.233691
c2g1s226	4.253661	8.107651	4.253661
c2g1s227	8.109071	9.970017	9.970017
c2g1s228	3.442112	8.82987	3.442112
c2g1s229	8.042477	6.88264	6.88264
c2g1s230	2.577846	8.226719	2.577846
c2g1s231	4.041092	7.111822	7.111822
c2g1s232	3.3165	7.595993	3.3165
c2g1s233	5.432254	5.33333	5.33333
c2g1s234	4.81953	10.430947	4.81953
c2g1s235	4.717367	11.451199	11.451199
c2g1s236	5.651058	6.766906	5.651058
c2g1s237	8.458709	8.476794	8.476794
c2g1s238	8.433297	8.544641	8.433297
c2g1s239	7.820359	7.595647	7.595647
c2g1s240	4.257078	9.40747	4.257078
c2g1s241	5.063578	6.369475	6.369475
c2g1s242	6.899006	8.665467	6.899006
c2g1s243	3.331259	8.950621	8.950621
c2g1s244	8.184998	7.591568	8.184998
c2g1s245	3.902365	7.252767	7.252767
c2g1s246	7.043423	8.719673	7.043423
c2g1s247	6.502131	7.596409	7.596409
c2g1s248	5.576597	7.132378	5.576597
c2g1s249	8.753391	9.116248	9.116248
c2g1s250	5.460987	7.936607	5.460987
c2g1s251	5.895761	10.593678	10.593678
c2g1s252	6.893685	8.211149	6.893685
c2g1s253	2.957263	9.364554	9.364554
c2g1s254	5.806569	6.525175	5.806569
c2g1s255	4.991568	6.447376	6.447376
c2g1s256	6.026742	6.024689	6.026742
c2g1s257	7.97951	7.217355	7.217355
c2g1s258	4.617014	11.209486	4.617014
c2g1s259	6.913424	10.765779	10.765779
c2g1s260	6.312438	10.519171	6.312438
c2g1s261	3.638686	7.996787	7.996787
c2g1s262	4.237202	11.382547	4.237202
c2g1s263	3.040881	6.958979	6.958979
c2g1s264	7.454175	7.406242	7.454175
c2g1s265	7.385276	9.552184	9.552184
c2g1s266	8.680797	9.463412	8.680797
c2g1s267	3.050974	9.722713	9.722713
c2g1s268	4.057345	8.702224	4.057345
c2g1s269	5.9747	8.672677	8.672677
c2g1s270	8.311406	6.5861	8.311406
c2g1s271	7.287186	6.331901	6.331901
c2g1s272	6.016357	9.028687	6.016357
c2g1s273	7.743559	10.390601	10.390601
c2g1s274	5.831235	5.55958	5.831235
c2g1s275	4.28541	8.01647	8.01647
c2g1s276	4.875823	5.778654	4.875823
c2g1s277	4.556619	7.142531	7.142531
c2g1s278	8.872252	8.898933	8.872252
c2g1s279	3.432175	7.186119	7.186119
c2g1s280	3.628798	10.692476	3.628798
c2g1s281	4.954106	9.908254	9.908254
c2g1s282	6.646035	6.739489	6.646035
c2g1s283	5.920475	6.604288	6.604288
c2g1s284	5.724899	8.970111	5.724899
c2g1s285	5.885585	5.415599	5.415599
c2g1s286	8.22673	7.479321	8.22673
c2g1s287	7.24406	5.701076	5.701076
c2g1s288	5.574624	7.379963	5.574624
c2g1s289	3.372151	9.135339	9.135339
c2g1s290	3.151528	10.057513	3.151528
c2g1s291	2.999193	7.130417	7.130417
c2g1s292	8.487013	8.175124	8.487013
c2g1s293	3.436502	9.479412	9.479412
c2g1s294	6.651401	6.659523	6.651401
c2g1s295	3.536986	8.065574	8.065574
c2g1s296	6.999162	11.130198	6.999162
c2g1s297	6.30651	7.337623	7.337623
c2g1s298	2.712349	7.979151	2.712349
c2g1s299	7.173433	11.199362	11.199362
c2g1s300	5.678345	10.585672	5.678345
c2g1s301	7.047104	8.580316	8.580316
c2g1s302	3.13609	8.801214	3.13609
c2g1s303	7.460619	11.292218	11.292218
c2g1s304	3.700627	10.745353	3.700627
c2g1s305	5.060151	8.929006	8.929006
c2g1s306	7.524086	8.684107	7.524086
c2g1s307	7.08067	11.201978	11.201978
c2g1s308	3.893268	10.542175	3.893268
c2g1s309	7.689779	10.744524	10.744524
c2g1s310	8.831628	8.917957	8.831628
c2g1s311	8.24099	6.948593	6.948593
c2g1s312	7.036663	10.228909	7.036663
c2g1s313	7.662753	6.804669	6.804669
c2g1s314	7.124938	9.417156	7.124938
c2g1s315	5.864593	7.867308	7.867308
c2g1s316	5.58251	11.496313	5.58251
c2g1s317	4.106596	7.851147	7.851147
c2g1s318	5.60042	7.263125	5.60042
c2g1s319	6.983689	9.505596	9.505596
c2g1s320	3.2253	9.581549	3.2253
c2g1s321	8.669825	8.295095	8.295095
c2g1s322	3.056653	7.536085	3.056653
c2g1s323	8.980101	8.675283	8.675283
c2g1s324	7.9355	6.800221	7.9355
c2g1s325	3.609467	10.720611	10.720611
c2g1s326	8.127378	6.797919	8.127378
c2g1s327	4.709888	9.168803	9.168803
c2g1s328	3.714232	9.594653	3.714232
c2g1s329	5.98375	7.193075	7.193075
c2g1s330	4.788342	7.908375	4.788342
c2g1s331	7.951809	10.770894	10.770894
c2g1s332	4.7882	11.317546	4.7882
c2g1s333	8.075982	9.482988	9.482988
c2g1s334	8.507648	9.755736	8.507648
c2g1s335	5.968301	6.19764	6.19764
c2g1s336	5.901237	7.697862	5.901237
c2g1s337	7.000704	6.654234	6.654234
c2g1s338	4.03524	8.152154	4.03524
c2g1s339	6.235127	11.623566	11.623566
c2g1s340	6.566386	11.553516	6.566386
c2g1s341	4.371039	9.80536	9.80536
c2g1s342	4.166591	10.994705	4.166591
c2g1s343	6.774967	8.391189	8.391189
c2g1s344	7.185599	10.338093	7.185599
c2g1s345	6.713146	10.919148	10.919148
c2g1s346	5.241082	8.441505	5.241082
c2g1s347	3.206818	9.339146	9.339146
c2g1s348	6.598055	7.388759	6.598055
c2g1s349	6.966952	6.772248	6.772248
c2g1s350	7.053522	10.497375	7.053522
c2g1s351	6.887088	10.175491	10.175491
c2g1s352	8.738984	9.544344	8.738984
c2g1s353	8.307195	9.68591	9.68591
c2g1s354	5.95905	6.287099	5.95905
c2g1s355	4.144649	8.925328	8.925328
c2g1s356	8.535192	8.054477	8.535192
c2g1s357	4.776274	8.358587	8.358587
c2g1s358	8.405982	9.037682	8.405982
c2g1s359	5.955129	5.861147	5.861147
c2g1s360	2.860399	7.949906	2.860399
c2g1s361	7.317351	10.164385	10.164385
c2g1s362	3.213427	8.871759	3.213427
c2g1s363	7.590515	9.311948	9.311948
c2g1s364	5.820744	9.558478	5.820744
c2g1s365	3.575088	7.338313	7.338313
c2g1s366	4.664389	10.910475	4.664389
c2g1s367	5.651489	11.448786	11.448786
c2g1s368	5.255803	10.79658	5.255803
c2g1s369	8.01028	10.242954	10.242954
c2g1s370	4.575169	6.716047	4.575169
c2g1s371	8.31285	7.161392	7.161392
c2g1s372	4.487194	10.553529	4.487194
c2g1s373	7.1371	9.770599	9.770599
c2g1s374	6.137914	8.907056	6.137914
c2g1s375	3.219673	9.221042	9.221042
c2g1s376	3.639004	10.687482	3.639004
c2g1s377	7.595505	7.500473	7.500473
c2g1s378	3.561872	6.620948	3.561872
c2g1s379	6.703361	8.068429	8.068429
c2g1s380	6.576751	7.07501	6.576751
c2g1s381	5.587031	10.622995	10.622995
c2g1s382	6.350178	5.549042	6.350178
c2g1s383	5.663028	8.654685	8.654685
c2g1s384	4.736236	7.418214	4.736236
c2g1s385	2.873336	9.703932	9.703932
c2g1s386	8.9658	8.587065	8.9658
c2g1s387	6.940419	7.881721	7.881721
c2g1s388	7.997538	8.485651	7.997538
c2g1s389	4.479793	9.685237	9.685237
c2g1s390	6.075692	6.272268	6.075692
c2g1s391	4.908687	6.39498	6.39498
c2g1s392	4.975562	9.548008	4.975562
c2g1s393	8.330248	10.173965	10.173965
c2g1s394	3.084285	9.741163	3.084285
c2g1s395	8.285093	10.11803	10.11803
c2g1s396	7.166606	8.058449	7.166606
c2g1s397	3.258327	8.660671	8.660671
c2g1s398	4.260739	8.979157	4.260739
c2g1s399	7.44639	7.219483	7.219483
c2g1s400	4.084394	10.964285	4.084394
c2g1s401	5.056663	9.710769	9.710769
c2g1s402	2.779266	9.817274	2.779266
c2g1s403	6.852473	10.742463	10.742463
c2g1s404	7.601559	9.489763	7.601559
c2g1s405	8.972719	8.516995	8.516995
c2g1s406	6.585843	6.390128	6.585843
c2g1s407	2.854291	9.750799	9.750799
c2g1s408	4.605031	6.939956	4.605031
c2g1s409	3.051421	6.76002	6.76002
c2g1s410	5.72435	5.934306	5.72435
c2g1s411	8.271013	9.583238	9.583238
c2g1s412	3.55277	7.43571	3.55277
c2g1s413	8.995233	8.552937	8.552937
c2g1s414	4.62808	6.138779	4.62808
c2g1s415	3.470599	9.443047	9.443047
c2g1s416	3.693071	7.403846	3.693071
c2g1s417	5.788102	5.391983	5.391983
c2g1s418	6.253803	6.852003	6.253803
c2g1s419	2.978153	7.486309	7.486309
c2g1s420	8.739165	8.38988	8.739165
c2g1s421	6.532404	6.700067	6.700067
c2g1s422	4.530726	6.695299	4.530726
c2g1s423	8.55313	8.848253	8.848253
c2g1s424	5.056925	5.61119	5.056925
c2g1s425	7.175005	7.279137	7.279137
c2g1s426	3.65997	7.63304	3.65997
c2g1s427	8.687049	8.240664	8.240664
c2g1s428	3.841034	8.12369	3.841034
c2g1s429	6.027343	10.98715	10.98715
c2g1s430	5.690987	8.519554	5.690987
c2g1s431	7.091054	7.437949	7.437949
c2g1s432	5.397668	6.991079	5.397668
c2g1s433	6.502425	10.366648	10.366648
c2g1s434	7.749333	9.292866	7.749333
c2g1s435	8.060523	10.014355	10.014355
c2g1s436	8.482002	9.149959	8.482002
c2g1s437	8.114186	7.843533	7.843533
c2g1s438	6.047007	6.964674	6.047007
c2g1s439	5.826038	11.630048	11.630048
c2g1s440	7.115338	11.088033	7.115338
c2g1s441	3.449028	6.974415	6.974415
c2g1s442	7.495184	7.091638	7.495184
c2g1s443	4.224738	7.511068	7.511068
c2g1s444	6.439588	6.997421	6.439588
c2g1s445	8.130667	7.404831	7.404831
c2g1s446	2.784069	7.454181	2.784069
c2g1s447	6.776935	8.730522	8.730522
c2g1s448	2.888535	8.941014	2.888535
c2g1s449	6.738494	8.163124	8.163124
c2g1s450	8.694547	9.01334	8.694547
c2g1s451	3.869221	9.891539	9.891539
c2g1s452	6.063388	8.048612	6.063388
c2g1s453	5.361421	5.713586	5.713586
c2g1s454	6.933027	9.8336	6.933027
c2g1s455	8.724665	8.361342	8.361342
c2g1s456	2.764669	8.084918	2.764669
c2g1s457	5.788579	7.526159	7.526159
c2g1s458	3.174918	9.39544	3.174918
c2g1s459	8.321296	9.052032	9.052032
c2g1s460	3.756454	6.241001	3.756454
c2g1s461	7.335291	9.138495	9.138495
c2g1s462	4.810222	6.201883	4.810222
c2g1s463	4.284781	10.975441	10.975441
c2g1s464	6.263305	8.908468	6.263305
c2g1s465	7.60991	8.633132	8.633132
c2g1s466	4.181252	5.797384	4.181252
c2g1s467	5.355001	7.738725	7.738725
c2g1s468	5.792303	9.964884	5.792303
c2g1s469	6.457221	10.366341	10.366341
c2g1s470	7.177978	9.687636	7.177978
c2g1s471	4.440009	8.099114	8.099114
c2g1s472	3.957426	9.040116	3.957426
c2g1s473	8.782717	8.009546	8.009546
c2g1s474	2.815542	7.194988	2.815542
c2g1s475	6.568847	8.813485	8.813485
c2g1s476	8.013455	9.045453	8.013455
c2g1s477	4.856588	9.640009	9.640009
c2g1s478	6.742089	5.99501	6.742089
c2g1s479	2.690814	8.883496	8.883496
c2g1s480	7.90493	10.436156	7.90493
c2g1s481	5.802567	10.253683	10.253683
c2g1s482	3.955271	10.485388	3.955271
c2g1s483	7.032709	10.035726	10.035726
c2g1s484	3.252255	7.937243	3.252255
c2g1s485	6.796896	8.38433	8.38433
c2g1s486	4.160699	9.297288	4.160699
c2g1s487	7.315661	9.871871	9.871871
c2g1s488	2.861261	8.408382	2.861261
c2g1s489	6.081033	10.034191	10.034191
c2g1s490	8.642057	9.895741	8.642057
c2g1s491	6.172461	11.57675	11.57675
c2g1s492	7.624588	9.609458	7.624588
c2g1s493	7.547094	5.903574	5.903574
c2g1s494	7.561714	6.498957	7.561714
c2g1s495	5.572039	8.558749	8.558749
c2g1s496	5.359656	8.898531	5.359656
c2g1s497	2.866944	7.143353	7.143353
c2g1s498	4.190402	6.154024	4.190402
c2g1s499	8.943087	8.351469	8.351469
c2g1s500	6.776774	7.993526	6.776774
c2g2s501	15.483963	8.536093	8.536093
c2g2s502	9.302266	8.861015	9.302266
c2g2s503	9.190767	8.635822	8.635822
c2g2s504	9.669546	10.479175	9.669546
c2g2s505	11.349948	6.555915	6.555915
c2g2s506	15.033198	7.251656	15.033198
c2g2s507	15.226483	7.647297	7.647297
c2g2s508	12.378816	7.071152	12.378816
c2g2s509	11.90309	7.279613	7.279613
c2g2s510	15.232101	8.278193	15.232101
c2g2s511	12.333202	7.252878	7.252878
c2g2s512	11.786325	7.443645	11.786325
c2g2s513	15.122148	7.991356	7.991356
c2g2s514	13.811322	9.247271	13.811322
c2g2s515	13.354521	11.016747	11.016747
c2g2s516	14.898926	9.871251	14.898926
c2g2s517	14.627355	7.564961	7.564961
c2g2s518	15.119281	7.276578	15.119281
c2g2s519	11.238563	10.112326	10.112326
c2g2s520	12.747731	5.60194	12.747731
c2g2s521	12.489832	6.982588	6.982588
c2g2s522	13.913707	10.315791	13.913707
c2g2s523	9.376586	8.064351	8.064351
c2g2s524	14.420009	7.696498	14.420009
c2g2s525	9.003772	8.388904	8.388904
c2g2s526	11.647688	8.366929	11.647688
c2g2s527	10.173479	8.076015	8.076015
c2g2s528	14.831281	7.037778	14.831281
c2g2s529	9.107259	9.317832	9.317832
c2g2s530	11.455599	5.49669	11.455599
c2g2s531	10.037939	7.574473	7.574473
c2g2s532	12.711283	8.789611	12.711283
c2g2s533	11.159588	6.099215	6.099215
c2g2s534	12.564496	8.440556	12.564496
c2g2s535	14.877943	9.994827	9.994827
c2g2s536	11.739627	7.48055	11.739627
c2g2s537	14.82853	8.300731	8.300731
c2g2s538	13.57998	9.47421	13.57998
c2g2s539	9.865995	7.04674	7.04674
c2g2s540	13.277697	8.784518	13.277697
c2g2s541	13.384955	8.990073	8.990073
c2g2s542	14.940117	9.186763	14.940117
c2g2s543	9.488056	9.499338	9.499338
c2g2s544	10.563122	7.662337	10.563122
c2g2s545	9.235342	8.277059	8.277059
c2g2s546	14.855328	10.238964	14.855328
c2g2s547	15.393563	8.133919	8.133919
c2g2s548	12.593637	9.563616	12.593637
c2g2s549	9.990399	7.475941	7.475941
c2g2s550	14.392284	9.122481	14.392284
c2g2s551	15.244205	8.127743	8.127743
c2g2s552	13.057822	7.140635	13.057822
c2g2s553	12.681108	11.528973	11.528973
c2g2s554	12.593154	6.314322	12.593154
c2g2s555	13.684204	5.679649	5.679649
c2g2s556	10.690714	5.910972	10.690714
c2g2s557	9.443963	7.981731	7.981731
c2g2s558	11.088643	9.669616	11.088643
c2g2s559	15.352259	8.392687	8.392687
c2g2s560	15.18504	9.198326	15.18504
c2g2s561	13.341617	6.301481	6.301481
c2g2s562	10.509051	10.985684	10.509051
c2g2s563	10.653543	6.772159	6.772159
c2g2s564	9.886398	7.383131	9.886398
c2g2s565	10.330361	7.014029	7.014029
c2g2s566	11.597665	9.102673	11.597665
c2g2s567	9.215837	8.964931	8.964931
c2g2s568	14.314407	7.729475	14.314407
c2g2s569	13.584613	7.188098	7.188098
c2g2s570	10.659423	6.883138	10.659423
c2g2s571	12.717114	7.147808	7.147808
c2g2s572	10.922353	11.489424	10.922353
c2g2s573	11.000541	7.426921	7.426921
c2g2s574	10.208475	6.622606	10.208475
c2g2s575	11.862019	9.865209	9.865209
c2g2s576	11.209004	8.839366	11.209004
c2g2s577	9.545351	8.056005	8.056005
c2g2s578	10.061459	8.271841	10.061459
c2g2s579	11.953165	6.822955	6.822955
c2g2s580	10.796247	9.252429	10.796247
c2g2s581	15.38086	8.138967	8.138967
c2g2s582	11.925966	9.264407	11.925966
c2g2s583	11.62539	11.104558	11.104558
c2g2s584	15.091329	7.707609	15.091329
c2g2s585	9.923935	8.43294	8.43294
c2g2s586	14.527205	8.697161	14.527205
c2g2s587	10.243764	9.23058	9.23058
c2g2s588	15.369001	7.907358	15.369001
c2g2s589	11.915964	6.866109	6.866109
c2g2s590	11.905886	7.944267	11.905886
c2g2s591	13.787551	10.176782	10.176782
c2g2s592	14.570234	7.65119	14.570234
c2g2s593	10.705625	6.716127	6.716127
c2g2s594	10.952518	9.123736	10.952518
c2g2s595	11.876453	11.045372	11.045372
c2g2s596	13.306554	10.082577	13.306554
c2g2s597	13.94771	9.665133	9.665133
c2g2s598	10.854871	7.105713	10.854871
c2g2s599	10.733872	10.442392	10.442392
c2g2s600	9.769249	6.559751	9.769249
c2g2s601	12.685212	10.275229	10.275229
c2g2s602	13.165636	6.429497	13.165636
c2g2s603	11.463186	9.40981	9.40981
c2g2s604	9.209731	8.614617	9.209731
c2g2s605	13.799973	6.431171	6.431171
c2g2s606	13.319366	11.378881	13.319366
c2g2s607	13.021065	8.177925	8.177925
c2g2s608	10.443752	9.983639	10.443752
c2g2s609	12.177624	8.918921	8.918921
c2g2s610	14.452888	10.178671	14.452888
c2g2s611	11.6481	10.371973	10.371973
c2g2s612	11.554307	11.501471	11.554307
c2g2s613	14.017493	8.392248	8.392248
c2g2s614	14.961937	7.88313	14.961937
c2g2s615	10.395455	8.101399	8.101399
c2g2s616	14.897748	8.321614	14.897748
c2g2s617	9.538918	9.324792	9.324792
c2g2s618	10.534407	6.855857	10.534407
c2g2s619	13.412333	6.871552	6.871552
c2g2s620	9.032386	8.951305	9.032386
c2g2s621	10.568859	10.14592	10.14592
c2g2s622	11.039977	8.727893	11.039977
c2g2s623	13.594284	11.398085	11.398085
c2g2s624	12.139363	10.899022	12.139363
c2g2s625	12.060565	11.514025	11.514025
c2g2s626	14.070959	7.607155	14.070959
c2g2s627	15.466414	8.186728	8.186728
c2g2s628	11.11321	8.163141	11.11321
c2g2s629	12.321731	8.2783	8.2783
c2g2s630	11.544982	10.532122	11.544982
c2g2s631	15.251616	9.323279	9.323279
c2g2s632	14.076915	9.126124	14.076915
c2g2s633	9.799263	10.497828	10.497828
c2g2s634	10.367531	9.596489	10.367531
c2g2s635	14.363692	8.303235	8.303235
